"reg_no","title_front","name","surname","title_back","PIN","city"
14962,"Mgr.","Beata","Jeowiczová","",1657364,"Èeskı Tìšín"
15389,"Mgr.","Petr","Èáp","",2472716,"Èeskı Tìšín"
16089,"Mgr.","Tomasz","Pustówka","",3660915,"Èeskı Tìšín"
16582,"Mgr.","Martin","Bielesz","",4505450,"Èeskı Tìšín"
16713,"Mgr.","Veronika","Hokešová","",4662041,"Èeskı Tìšín"
50202,"","Marcin","Banasik","",3879526,"Èeskı Tìšín"
1417,"JUDr.","Jana","Graòáková","",66208351,"Èeskı Tìšín"
4922,"JUDr.","Miroslav","Sylla","",66244412,"Èeskı Krumlov"
8782,"JUDr.","Pavel","Marán","",66248281,"Èeskı Krumlov"
9647,"JUDr.","Marek","Frank","",66254132,"Èeskı Krumlov"
10147,"Mgr.","Jan","Aulickı","",66257972,"Èeskı Krumlov"
11258,"Mgr.","Radka","Maránová","",71461957,"Èeskı Krumlov"
11863,"JUDr.","Eva","Zajíèková","Ph.D.",65028082,"Èeskı Krumlov"
12274,"Mgr.","Jaroslava","Koláøová","",71471782,"Èeskı Krumlov"
12693,"JUDr.","Jaroslav","Adam","",70673683,"Èeskı Krumlov"
14683,"Mgr.","Jan","Koláø","",1264249,"Èeskı Krumlov"
14757,"Mgr.","Lucie","Luhanová","",1336118,"Èeskı Krumlov"
14796,"JUDr.","Ivana","Schönová","",87869560,"Èeskı Krumlov"
15080,"Mgr.","Michal","Postl","",1827561,"Èeskı Krumlov"
16462,"JUDr.","Helena","Nováková","",4296877,"Èeskı Krumlov"
1183,"JUDr.","Ladislav","Kresl","",16827104,"Èeskı Krumlov"
6204,"JUDr.","Milena","Nováková","",12330914,"Èeskı Krumlov"
2103,"JUDr.","Jozef","Šebesta","",46622829,"Èeskı Krumlov"
9497,"Mgr.","Eva","Zhøívalová","",66252954,"Èeskı Brod"
13537,"Mgr.","Tomáš","Klineckı","",71448071,"Èeskı Brod"
2185,"JUDr.","Jana","Marková","",66212278,"Èeskı Brod"
10010,"Mgr.","Zuzana","Gottwaldová","",69563021,"Èeské Budìjovice 2"
147,"JUDr.","Ludmila","Hájeèková","",66200776,"Èeské Budìjovice"
1475,"JUDr.","Bedøich","Benek","",10281282,"Èeské Budìjovice"
1480,"JUDr.","Milan","Fryš","",66208734,"Èeské Budìjovice"
1669,"JUDr.","Radim","Paøízek","",66209706,"Èeské Budìjovice"
2236,"JUDr.","Petr","Vanìk","",43834582,"Èeské Budìjovice"
2276,"JUDr.","Jaromír","Bayer","",13494414,"Èeské Budìjovice"
2497,"JUDr.","Vladimír","Folprecht","",11351438,"Èeské Budìjovice"
2502,"JUDr.","Jana","Šárová","",66213525,"Èeské Budìjovice"
2530,"JUDr.","Svatomír","Mlèoch","",49051229,"Èeské Budìjovice"
2586,"JUDr.","Jana","Hrabová","",66213657,"Èeské Budìjovice"
2702,"JUDr.","Jiøí","Pánek","",66215226,"Èeské Budìjovice"
2772,"Mgr.","František","Pohanka","",66218357,"Èeské Budìjovice"
2791,"JUDr.","Eugen","Záliš","",66215251,"Èeské Budìjovice"
2986,"JUDr.","Miroslav","Køíeneckı","",66218942,"Èeské Budìjovice"
2987,"JUDr.","Petr","Líbenek","",14483904,"Èeské Budìjovice"
3350,"JUDr.","Milena","Gròáková","",66217822,"Èeské Budìjovice"
3526,"JUDr.","Roman","Kudrlièka","",65059522,"Èeské Budìjovice"
3771,"JUDr.","František","Šimák","",66223288,"Èeské Budìjovice"
3903,"Mgr.","Eduard","Køiklava","",60630027,"Èeské Budìjovice"
4063,"JUDr.","Drahomíra","Liptáková","",66224888,"Èeské Budìjovice"
4183,"Mgr.","Pavel","Oriniak","",66233917,"Èeské Budìjovice"
4345,"JUDr.","Jaroslava","Langová","",66238455,"Èeské Budìjovice"
4528,"JUDr.","Petra","Vaòková","",60839597,"Èeské Budìjovice"
4700,"Mgr.","Monika","Staòková","",66245770,"Èeské Budìjovice"
4729,"Mgr.","František","Klíma","",66242606,"Èeské Budìjovice"
4839,"JUDr.","Zdenìk","Drábek","",15788407,"Èeské Budìjovice"
